id	taxonID	identifier	parentNameUsageID	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	modified	scientificName	taxonRank	references
1034978	https://www.inaturalist.org/taxa/1034978	https://www.inaturalist.org/taxa/1034978	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	longiporum	NA	2020-02-13T04:41:18Z	Vaccinium longiporum	species	NA
1034979	https://www.inaturalist.org/taxa/1034979	https://www.inaturalist.org/taxa/1034979	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	leptospermoides	NA	2020-02-13T04:41:18Z	Vaccinium leptospermoides	species	NA
1034980	https://www.inaturalist.org/taxa/1034980	https://www.inaturalist.org/taxa/1034980	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	longepedicellatum	NA	2020-02-13T04:41:19Z	Vaccinium longepedicellatum	species	NA
1034982	https://www.inaturalist.org/taxa/1034982	https://www.inaturalist.org/taxa/1034982	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	littoreum	NA	2020-02-13T04:41:20Z	Vaccinium littoreum	species	NA
1034983	https://www.inaturalist.org/taxa/1034983	https://www.inaturalist.org/taxa/1034983	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	luzoniense	NA	2020-02-13T04:41:20Z	Vaccinium luzoniense	species	NA
1034984	https://www.inaturalist.org/taxa/1034984	https://www.inaturalist.org/taxa/1034984	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	ligustrifolium	NA	2020-02-13T04:41:21Z	Vaccinium ligustrifolium	species	NA
1034985	https://www.inaturalist.org/taxa/1034985	https://www.inaturalist.org/taxa/1034985	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	manipurense	NA	2020-02-13T04:41:21Z	Vaccinium manipurense	species	NA
1034987	https://www.inaturalist.org/taxa/1034987	https://www.inaturalist.org/taxa/1034987	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	lundellianum	NA	2020-02-13T04:41:23Z	Vaccinium lundellianum	species	NA
1034988	https://www.inaturalist.org/taxa/1034988	https://www.inaturalist.org/taxa/1034988	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	mathewsii	NA	2020-02-13T04:41:23Z	Vaccinium mathewsii	species	NA
1034989	https://www.inaturalist.org/taxa/1034989	https://www.inaturalist.org/taxa/1034989	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	megalophyes	NA	2020-02-13T04:41:24Z	Vaccinium megalophyes	species	NA
