#BaseNum	Read1_linear	Read1_log
711	2.000	2.000
712	2.000	2.000
713	4.000	4.000
714	2.000	2.000
715	6.000	6.000
716	2.000	2.000
717	2.000	2.000
718	5.000	5.000
719	6.000	6.000
720	3.000	3.000
721	7.000	7.000
722	15.000	15.000
723	16.000	16.000
724	10.000	10.000
725	8.000	8.000
726	3.000	3.000
727	4.000	4.000
728	2.000	2.000
729	2.000	2.000
730	2.000	2.000
731	2.000	2.000
732	2.000	2.000
733	2.000	2.000
734	2.000	2.000
735	2.000	2.000
736	2.000	2.000
737	2.000	2.000
738	10.000	10.000
739	8.000	8.000
740	8.000	8.000
741	2.000	2.000
742	3.000	3.000
743	2.000	2.000
744	3.000	3.000
745	9.000	9.000
746	9.000	9.000
747	7.000	7.000
748	4.000	4.000
749	2.000	2.000
750	2.000	2.000
751	2.000	2.000
752	4.000	4.000
753	2.000	2.000
754	2.000	2.000
755	2.000	2.000
756	5.000	5.000
757	5.000	5.000
758	3.000	3.000
759	2.000	2.000
760	2.000	2.000
761	2.000	2.000
762	2.000	2.000
763	2.000	2.000
764	2.000	2.000
765	2.000	2.000
766	2.000	2.000
767	2.000	2.000
768	2.000	2.000
769	2.000	2.000
770	2.000	2.000
771	2.000	2.000
772	2.000	2.000
773	2.000	2.000
774	2.000	2.000
775	2.000	2.000
776	2.000	2.000
777	2.000	2.000
778	2.000	2.000
779	2.000	2.000
780	2.000	2.000
781	2.000	2.000
782	2.000	2.000
783	2.000	2.000
784	2.000	2.000
785	4.000	4.000
786	3.000	3.000
787	2.000	2.000
788	2.000	2.000
789	2.000	2.000
790	2.000	2.000
791	11.000	11.000
792	12.000	12.000
793	6.000	6.000
794	4.000	4.000
795	2.000	2.000
796	2.000	2.000
797	2.000	2.000
798	2.000	2.000
799	2.000	2.000
800	2.000	2.000
801	2.000	2.000
802	2.000	2.000
803	2.000	2.000
804	2.000	2.000
805	2.000	2.000
806	2.000	2.000
807	2.000	2.000
808	2.000	2.000
809	2.000	2.000
810	2.000	2.000
811	2.000	2.000
812	2.000	2.000
813	2.000	2.000
814	2.000	2.000
815	3.000	3.000
816	6.000	6.000
817	8.000	8.000
818	9.000	9.000
819	8.000	8.000
820	4.000	4.000
821	8.000	8.000
822	15.000	15.000
823	4.000	4.000
824	11.000	11.000
825	8.000	8.000
826	17.000	17.000
827	3.000	3.000
828	4.000	4.000
829	3.000	3.000
830	2.000	2.000
831	2.000	2.000
832	4.000	4.000
833	2.000	2.000
834	2.000	2.000
835	2.000	2.000
836	4.000	4.000
837	8.000	8.000
838	2.000	2.000
839	2.000	2.000
840	8.000	8.000
841	9.000	9.000
842	8.000	8.000
843	5.000	5.000
844	2.000	2.000
845	2.000	2.000
846	2.000	2.000
847	14.000	14.000
848	11.000	11.000
849	11.000	11.000
850	12.000	12.000
851	7.000	7.000
852	6.000	6.000
853	5.000	5.000
854	2.000	2.000
855	2.000	2.000
856	2.000	2.000
857	11.000	11.000
858	6.000	6.000
859	15.000	15.000
860	13.000	13.000
861	8.000	8.000
862	10.000	10.000
863	6.000	6.000
864	5.000	5.000
865	16.000	16.000
866	2.000	2.000
867	7.000	7.000
868	9.000	9.000
869	9.000	9.000
870	3.000	3.000
871	6.000	6.000
872	2.000	2.000
873	13.000	13.000
874	4.000	4.000
875	2.000	2.000
876	11.000	11.000
877	9.000	9.000
878	2.000	2.000
879	2.000	2.000
880	2.000	2.000
881	2.000	2.000
882	2.000	2.000
883	2.000	2.000
884	2.000	2.000
885	2.000	2.000
886	2.000	2.000
887	2.000	2.000
888	2.000	2.000
889	2.000	2.000
890	14.000	14.000
891	14.000	14.000
892	11.000	11.000
893	4.000	4.000
894	6.000	6.000
895	14.000	14.000
896	9.000	9.000
897	2.000	2.000
898	2.000	2.000
899	2.000	2.000
900	2.000	2.000
901	2.000	2.000
902	2.000	2.000
903	6.000	6.000
904	8.000	8.000
905	2.000	2.000
906	7.000	7.000
907	2.000	2.000
908	5.000	5.000
909	4.000	4.000
910	2.000	2.000
911	14.000	14.000
912	12.000	12.000
913	13.000	13.000
914	13.000	13.000
915	5.000	5.000
916	6.000	6.000
917	18.000	18.000
918	14.000	14.000
919	7.000	7.000
920	11.000	11.000
921	5.000	5.000
922	2.000	2.000
923	6.000	6.000
924	6.000	6.000
925	2.000	2.000
926	2.000	2.000
927	2.000	2.000
928	2.000	2.000
929	2.000	2.000
930	2.000	2.000
931	2.000	2.000
932	2.000	2.000
933	2.000	2.000
934	2.000	2.000
935	2.000	2.000
936	2.000	2.000
937	2.000	2.000
938	2.000	2.000
939	2.000	2.000
940	2.000	2.000
941	2.000	2.000
942	2.000	2.000
943	6.000	6.000
944	2.000	2.000
945	2.000	2.000
946	2.000	2.000
947	2.000	2.000
948	2.000	2.000
949	2.000	2.000
950	2.000	2.000
951	2.000	2.000
952	2.000	2.000
953	2.000	2.000
954	2.000	2.000
955	11.000	11.000
956	11.000	11.000
957	9.000	9.000
958	2.000	2.000
959	2.000	2.000
960	2.000	2.000
961	2.000	2.000
962	2.000	2.000
963	2.000	2.000
964	2.000	2.000
965	8.000	8.000
966	2.000	2.000
967	11.000	11.000
968	8.000	8.000
969	2.000	2.000
970	10.000	10.000
971	2.000	2.000
972	4.000	4.000
973	3.000	3.000
974	2.000	2.000
975	2.000	2.000
976	5.000	5.000
977	5.000	5.000
978	4.000	4.000
979	3.000	3.000
980	2.000	2.000
981	4.000	4.000
982	8.000	8.000
983	6.000	6.000
984	5.000	5.000
985	2.000	2.000
986	2.000	2.000
987	2.000	2.000
988	2.000	2.000
989	2.000	2.000
990	2.000	2.000
991	3.000	3.000
992	2.000	2.000
993	4.000	4.000
994	2.000	2.000
995	2.000	2.000
996	2.000	2.000
997	2.000	2.000
998	2.000	2.000
999	2.000	2.000
1000	2.000	2.000
1001	2.000	2.000
1002	20.000	20.000
1003	14.000	14.000
1004	13.000	13.000
1005	7.000	7.000
1006	2.000	2.000
1007	2.000	2.000
1008	2.000	2.000
1009	2.000	2.000
1010	2.000	2.000
1011	6.000	6.000
1012	2.000	2.000
1013	3.000	3.000
1014	8.000	8.000
1015	2.000	2.000
1016	2.000	2.000
1017	2.000	2.000
1018	6.000	6.000
1019	2.000	2.000
1020	2.000	2.000
1021	2.000	2.000
1022	2.000	2.000
1023	2.000	2.000
1024	2.000	2.000
1025	2.000	2.000
1026	2.000	2.000
1027	2.000	2.000
1028	3.000	3.000
1029	2.000	2.000
1030	2.000	2.000
1031	2.000	2.000
1032	2.000	2.000
1033	2.000	2.000
1034	2.000	2.000
1035	2.000	2.000
1036	2.000	2.000
1037	2.000	2.000
1038	2.000	2.000
1039	2.000	2.000
1040	2.000	2.000
1041	2.000	2.000
1042	2.000	2.000
1043	2.000	2.000
1044	2.000	2.000
1045	2.000	2.000
1046	9.000	9.000
1047	2.000	2.000
1048	6.000	6.000
1049	3.000	3.000
1050	6.000	6.000
1051	7.000	7.000
1052	12.000	12.000
1053	3.000	3.000
1054	2.000	2.000
1055	3.000	3.000
1056	2.000	2.000
1057	7.000	7.000
1058	5.000	5.000
1059	2.000	2.000
1060	2.000	2.000
1061	2.000	2.000
1062	2.000	2.000
1063	2.000	2.000
1064	2.000	2.000
1065	2.000	2.000
1066	2.000	2.000
1067	2.000	2.000
1068	2.000	2.000
1069	2.000	2.000
1070	2.000	2.000
1071	3.000	3.000
1072	5.000	5.000
1073	2.000	2.000
1074	2.000	2.000
1075	2.000	2.000
1076	2.000	2.000
1077	2.000	2.000
1078	2.000	2.000
1079	2.000	2.000
1080	2.000	2.000
1081	2.000	2.000
1082	2.000	2.000
1083	3.000	3.000
1084	12.000	12.000
1085	9.000	9.000
1086	4.000	4.000
1087	2.000	2.000
1088	2.000	2.000
1089	2.000	2.000
1090	8.000	8.000
1091	2.000	2.000
1092	2.000	2.000
1093	3.000	3.000
1094	2.000	2.000
1095	2.000	2.000
1096	2.000	2.000
1097	4.000	4.000
1098	2.000	2.000
1099	2.000	2.000
1100	2.000	2.000
1101	3.000	3.000
1102	2.000	2.000
1103	2.000	2.000
1104	2.000	2.000
1105	2.000	2.000
1106	2.000	2.000
1107	2.000	2.000
1108	2.000	2.000
1109	4.000	4.000
1110	3.000	3.000
1111	2.000	2.000
1112	2.000	2.000
1113	2.000	2.000
1114	2.000	2.000
1115	2.000	2.000
1116	2.000	2.000
1117	2.000	2.000
1118	3.000	3.000
1119	2.000	2.000
1120	2.000	2.000
1121	2.000	2.000
1122	2.000	2.000
1123	2.000	2.000
1124	2.000	2.000
1125	2.000	2.000
1126	2.000	2.000
1127	2.000	2.000
1128	5.000	5.000
1129	5.000	5.000
1130	13.000	13.000
1131	4.000	4.000
1132	7.000	7.000
1133	2.000	2.000
1134	2.000	2.000
1135	2.000	2.000
1136	2.000	2.000
1137	2.000	2.000
1138	2.000	2.000
1139	2.000	2.000
1140	2.000	2.000
1141	3.000	3.000
1142	2.000	2.000
1143	2.000	2.000
1144	2.000	2.000
1145	2.000	2.000
1146	2.000	2.000
1147	2.000	2.000
1148	2.000	2.000
1149	2.000	2.000
1150	2.000	2.000
1151	2.000	2.000
1152	2.000	2.000
1153	2.000	2.000
1154	2.000	2.000
1155	2.000	2.000
1156	2.000	2.000
1157	2.000	2.000
1158	2.000	2.000
1159	2.000	2.000
1160	2.000	2.000
1161	2.000	2.000
1162	2.000	2.000
1163	2.000	2.000
1164	6.000	6.000
1165	2.000	2.000
1166	2.000	2.000
1167	2.000	2.000
1168	2.000	2.000
1169	2.000	2.000
1170	2.000	2.000
1171	2.000	2.000
1172	2.000	2.000
1173	2.000	2.000
1174	2.000	2.000
1175	2.000	2.000
1176	2.000	2.000
1177	2.000	2.000
1178	2.000	2.000
1179	2.000	2.000
1180	2.000	2.000
1181	2.000	2.000
1182	2.000	2.000
1183	2.000	2.000
1184	2.000	2.000
1185	2.000	2.000
1186	2.000	2.000
1187	2.000	2.000
1188	2.000	2.000
1189	2.000	2.000
1190	2.000	2.000
1191	2.000	2.000
1192	2.000	2.000
1193	2.000	2.000
1194	5.000	5.000
1195	2.000	2.000
1196	2.000	2.000
1197	2.000	2.000
1198	2.000	2.000
1199	2.000	2.000
1200	2.000	2.000
1201	2.000	2.000
1202	2.000	2.000
1203	3.000	3.000
1204	3.000	3.000
1205	2.000	2.000
1206	5.000	5.000
1207	2.000	2.000
1208	2.000	2.000
1209	2.000	2.000
1210	2.000	2.000
1211	2.000	2.000
1212	4.000	4.000
1213	2.000	2.000
1214	2.000	2.000
1215	2.000	2.000
1216	2.000	2.000
1217	2.000	2.000
1218	2.000	2.000
1219	2.000	2.000
1220	2.000	2.000
1221	2.000	2.000
1222	2.000	2.000
1223	2.000	2.000
1224	2.000	2.000
1225	2.000	2.000
1226	2.000	2.000
1227	7.000	7.000
1228	5.000	5.000
1229	2.000	2.000
1230	2.000	2.000
1231	3.000	3.000
1232	2.000	2.000
1233	2.000	2.000
1234	2.000	2.000
1235	2.000	2.000
1236	2.000	2.000
1237	2.000	2.000
1238	2.000	2.000
1239	3.000	3.000
1240	2.000	2.000
1241	2.000	2.000
1242	2.000	2.000
1243	2.000	2.000
1244	2.000	2.000
1245	2.000	2.000
1246	2.000	2.000
1247	2.000	2.000
1248	2.000	2.000
1249	15.000	15.000
1250	9.000	9.000
1251	12.000	12.000
1252	4.000	4.000
1253	2.000	2.000
1254	4.000	4.000
1255	3.000	3.000
1256	2.000	2.000
1257	2.000	2.000
1258	2.000	2.000
1259	2.000	2.000
1260	2.000	2.000
1261	2.000	2.000
1262	2.000	2.000
1263	2.000	2.000
1264	2.000	2.000
1265	2.000	2.000
1266	4.000	4.000
1267	2.000	2.000
1268	2.000	2.000
1269	7.000	7.000
1270	3.000	3.000
1271	2.000	2.000
1272	4.000	4.000
1273	5.000	5.000
1274	8.000	8.000
1275	9.000	9.000
1276	5.000	5.000
1277	7.000	7.000
1278	2.000	2.000
1279	2.000	2.000
1280	2.000	2.000
1281	2.000	2.000
1282	2.000	2.000
1283	2.000	2.000
1284	2.000	2.000
1285	2.000	2.000
1286	4.000	4.000
1287	4.000	4.000
1288	2.000	2.000
1289	2.000	2.000
1290	2.000	2.000
1291	2.000	2.000
1292	2.000	2.000
1293	2.000	2.000
1294	2.000	2.000
1295	2.000	2.000
1296	2.000	2.000
1297	2.000	2.000
1298	2.000	2.000
1299	4.000	4.000
1300	3.000	3.000
1301	4.000	4.000
1302	2.000	2.000
1303	2.000	2.000
1304	2.000	2.000
1305	2.000	2.000
1306	2.000	2.000
1307	2.000	2.000
1308	2.000	2.000
1309	2.000	2.000
1310	2.000	2.000
1311	2.000	2.000
1312	2.000	2.000
1313	2.000	2.000
1314	2.000	2.000
1315	2.000	2.000
1316	2.000	2.000
1317	2.000	2.000
1318	2.000	2.000
1319	2.000	2.000
1320	2.000	2.000
1321	2.000	2.000
1322	2.000	2.000
1323	2.000	2.000
1324	2.000	2.000
1325	2.000	2.000
1326	2.000	2.000
1327	2.000	2.000
1328	2.000	2.000
1329	3.000	3.000
1330	2.000	2.000
1331	2.000	2.000
1332	2.000	2.000
1333	2.000	2.000
1334	2.000	2.000
1335	2.000	2.000
1336	2.000	2.000
1337	2.000	2.000
1338	2.000	2.000
1339	6.000	6.000
1340	2.000	2.000
1341	3.000	3.000
1342	2.000	2.000
1343	2.000	2.000
1344	2.000	2.000
1345	2.000	2.000
1346	2.000	2.000
1347	2.000	2.000
1348	2.000	2.000
1349	2.000	2.000
1350	2.000	2.000
1351	2.000	2.000
1352	2.000	2.000
1353	2.000	2.000
1354	2.000	2.000
1355	2.000	2.000
1356	2.000	2.000
